id,language,task_type,prompt
329,en,generation,"Imagine you’re writing a story about a spirited middle school teacher who lands a $150 grant to bring a fish tank into her classroom. Show how she and her students collaborate to budget, shop for supplies, and learn life lessons from their new aquatic friends. Set it in a lively suburban school and include moments of tense calls to the principal, messy first-time setup fails, and the quiet magic of watching fish swim. Make the teacher warm, a bit scatterbrained, and deeply invested in her students’ discovery. The finished story should be roughly 8,000-10,000 words."
1229,en,generation,"Imagine a story where a historian in a future state that outlaws all emotion discovers an artifact proving that feelings once powered civilization. As they race to share this secret, they must navigate a regime that deems empathy a mental illness. Make your protagonist’s internal struggle as central as the external dangers they face. 8,000-10,000 words."
1397,en,generation,"Imagine a story about a reserved archivist who must team up with a brash journalist when a long-buried family secret resurfaces. Build the plot entirely through their personal growth and conflicts, never relying on big action set-pieces. Craft dialogue so each voice is unmistakable—use quirks, unfinished sentences or repeated phrases—while each conversation drives character change or unveils hidden truths. Include at least three scenes where a character reveals an unexpected trait and one silent moment where tension speaks louder than words. The final tale should be 8,000-10,000 words."
1660,en,generation,"Imagine a story where a disgraced young captain must negotiate a fragile peace with an alien alliance still haunted by myths of human ferocity. Focus on themes of redemption, prejudice, and how legends can shape galactic politics. Include a tense space blockade around a remote mining outpost and a secret relic that can manipulate memories. Aim for 8,000-10,000 words."
1976,en,generation,"Write about making a deal with a supernatural being. Thomas is a loner, working in an enormous, dreary bookstore, when he encounters a supernatural being in the form of a book. The book provides Thomas with a million dollars in exchange for helping the supernatural being find a way to get back home. Include several references to famous creative works. The story should be about 8,000-10,000 words."
1599,en,generation,"Imagine a wild family reunion where a pregnant guest suddenly goes into labor amid a squabble over who should drive her to the hospital. Create a new tale full of eccentric relatives, hidden romances, and a last-minute paternity twist that no one saw coming. Focus on comic timing, shifting perspectives, and the chaos of exes showing up uninvited. The story should run between 8,000 and 10,000 words."
1493,en,generation,"Invent a story about a young adult who survived a childhood of drug-fueled neglect and brutal foster placements only to be rescued by an unlikely mentor during a mental hospital stay. Focus on themes of resilience, found family, and the power of education, weaving in flashbacks to traumatic memories and including letters or journal entries between the protagonist and their mentor. Set the narrative in present-day rural Oklahoma as the character moves from ranch labor to university life. Aim for 8,000-10,000 words."
1335,en,generation,"Imagine a story where two loners mistreated at school come up with a shocking scheme to win fame by thwarting a staged crisis—yet each secretly plans to double-cross the other to claim the glory. Alternate chapters through their perspectives to highlight how blame, guilt, and rivalry twist their motivations. Tie in a spring setting with realistic high school details, and pack in a final twist that forces each to confront what heroism really means. Aim for 8,000-10,000 words."
614,en,generation,"Imagine a 23-year-old graphic design intern who agrees to help her 30-something neighbor move into a quaint Midwestern home. During two playful mishaps—a spilled pitcher of water and an accidental, borderline-revealing moment—both characters find themselves wrestling with desire, propriety, and the spark between friendship and romance. Write an 8,000- to 10,000-word story exploring temptation, miscommunication, and the moment when everything changes."
1898,en,generation,"Imagine a story where a lone commuter steps onto a bus during a frigid winter dawn, only to glimpse an eerie shimmer on the horizon that hints at impending disaster. Focus on the contrast between the serene beauty of melting frost and the unsettling rumble of metal, and weave in themes of isolation and sudden dread. Include at least one detailed scene emphasizing light and sound, one unexpected mechanical element as a symbol of fate, and end with a surprising twist that reframes the morning commute. The story should be 8,000-10,000 words."
1230,en,generation,"Imagine a story about the launch of Satan’s first soul bank branch on Earth in a busy modern city. Follow an ambitious branch manager, a skeptical teller, and a rival angelic regulator as they navigate themes of capitalism, bureaucracy, and moral compromise. The story should feature at least two comedic mishaps and a twist that makes you question the value of the human soul. 8,000-10,000 words."
1349,en,generation,"Imagine you can plug into a cutting-edge system that lets you enter your own memories and speak one last time with someone you’ve lost. Create an original story about a scientist who uses this technology to reconnect with a late partner, uncovering a hidden truth that challenges everything they thought they knew. Include a flashback to their happiest moment together, a tense breakthrough in a sterile lab setting, and a final scene where the protagonist must decide to let go or risk being trapped forever. Set it in a near-future metropolis and make it between 8,000 and 10,000 words."
1191,en,generation,"Imagine a story about the Sarimaru, an ancient branch of humanity who return from the stars to reclaim their ancestral home on present-day Earth. Explore themes of lost heritage and cultural misunderstanding through at least one flashback to prehistoric life, a tense diplomatic summit, and the media frenzy that follows. Tell it from three perspectives—a reluctant Sarimaru elder, a skeptical human diplomat, and a curious journalist—and aim for 8,000-10,000 words."
1193,en,generation,"Create an original story about Earth caught between two alien races—one militant, one pacifist—each claiming to protect humanity. Follow a reluctant human envoy who secretly negotiates with both sides while discovering a dark conspiracy that could tip the balance of the war. Include at least two chapters from each alien faction’s point of view and explore themes of trust, sacrifice, and the true cost of peace. The story should be 8,000-10,000 words."
1384,en,generation,"Imagine a story where a reluctant seer who can glimpse how people will die spots the word “compassion” floating above a stranger’s head and becomes determined to learn how kindness could be lethal. Explore themes of free will versus destiny, the struggle between isolation and human connection, and the price one pays to change fate. Set it in a modern city during a drizzly winter evening, weaving in moments of quiet hope amid the darkness. The story should be 8,000-10,000 words."
1955,en,generation,"Write about having to break free from some sort of mental or physical confinement. The story should be around 8,000-10,000 words and written in third person. The story should be about two sisters who were raised in a doomsday cult. It is set in modern times. The sisters find out the leader has criminal charges pending when one of them finds a newspaper. They devise a plan to escape the property through the woods. Their plan also includes ordering a pizza and convincing the driver to help them. The driver takes them back to the restaurant and helps them find their aunt. The ending should be happy, and they should be reunited with their aunt."
1531,en,generation,"Imagine a story where a mysterious microbe begins dissolving all plastic, plunging a seaside town into crisis. Center on an oceanographer teamed with a local artisan as they scrap modern conveniences to reinvent tools and rebuild their community using traditional methods. Weave in themes of environmental awakening, the hidden cost of convenience, and the tension between nostalgia for the old world and hope for a greener future. Include at least two pivotal flashback scenes showing the protagonists’ former reliance on plastic and finish with a communal ritual that symbolizes the town’s new values. Aim for 8,000–10,000 words."
1370,en,generation,"Compose a story that explores the journey of a newly dead soul arriving in a vast afterlife realm divided into three enigmatic stages. Your guide is an elderly guardian who warns of the final phase’s irreversible cost. Show the protagonist’s wonder during their first ten-year awakening, the freedom they taste in the second stage, and their mounting dread as the end approaches. Set it in a bioluminescent forest with floating islands, include a scene where the hero discovers a hidden archive of past lives, and another where they must choose between preserving someone’s memory or moving on. Aim for 8,000-10,000 words."
1410,en,generation,"Create an original story about a world stripped of divinity after humanity collectively exiled their god, leaving Earth to choke on its own waste. Center on a former priest turned engineer who unearths a blueprint for synthetic miracles. Explore responsibility, redemption, and the dark side of playing god, including a pivotal moral dilemma when a test miracle spirals out of control, and a final scene where hope surfaces against overwhelming decay. Set this in a near-future coastal city ravaged by pollution. 8,000–10,000 words"
693,en,generation,"Write an 8,000–10,000 word story about a devoted food lover who travels across the country only to arrive a week before their dream burger joint finally opens. Explore themes of anticipation, fleeting opportunity, and the unexpected comforts that follow disappointment. Set the story in a bustling Midwestern airport city known for its unpredictable weather, and include a local blogger who’s live-streaming every construction update. Make sure there’s a vivid scene of the protagonist imagining different “what-if” endings and conclude with a surprising moment of consolation that feels even richer than that long-awaited first bite."
1182,en,generation,"Imagine a story where two special forces operatives are stranded in a crippled armored personnel carrier behind enemy lines after their unit retreats and communications go dark. Explore the tension between duty and survival by having them uncover a hidden order that could save or doom them, include vivid descriptions of the damaged vehicle’s cramped interior, and weave in flashbacks that reveal why each soldier values their mission differently. Challenge the writer to build to a gut-wrenching moral choice about whether to fight to the last bullet or attempt a risky escape. Aim for 8,000-10,000 words."
1506,en,generation,"{""reasoning"":""The story’s core idea—backward-only time travel powered by cosmic destruction—lends itself to a wholly new tale with fresh characters, settings, and moral dilemmas. A generative prompt that asks for themes of memory, sacrifice, and the fluid nature of reality will inspire a rich narrative without copying the original text. By setting clear creative constraints and a word‐count range, the writer gets direction and freedom to innovate."",""task_type"":""generation"",""prompt"":""Write a new tale featuring a physicist who invents a backward‐only time machine that devours parts of the universe every time it’s used, forcing them to relive their life from a single pivotal moment. Explore guilt, sacrifice, and shifting memories by including a scene where the protagonist must choose between saving the cosmos or preserving a cherished relationship. Set it in a near‐future city, and show how reality warps as the universe unravels. The story should be 8,000–10,000 words."",""confidence"":0. eighty}"
717,en,generation,"Write a story about a teenager from coastal Mississippi who moves to a tight-knit Texas town and finds themselves fielding clueless questions about hurricanes and the wider world. Explore themes of belonging, resilience, and regional stereotypes as your protagonist navigates their first semester at a new high school. Set it in present-day small-town Texas and include scenes of awkward misunderstandings, unexpected friendships, and moments of self-discovery. The finished tale should be roughly 8,000 to 10,000 words."
1966,en,generation,"Write a story about a mythological character meeting someone from the present. The story should be between 8,000 and 10,000 words and should be funny. The main character should be Poseidon. He and his wife are traveling to a beach resort. There should be a family at the resort, and the father annoys Poseidon. Poseidon uses his powers to get revenge on the man. At the end, Poseidon should create a storm. The ending is happy."
685,en,generation,"Write a story about a weekend mountain biker tearing down a remote forest trail at dawn when a sudden rockslide sends them flying, and their helmet and protective gear turn a potential tragedy into a survival miracle. Explore themes of preparedness, vulnerability, and resilience as your fearless but inexperienced rider emerges from the crash reevaluating what really matters. Layer in a raw, reflective aftermath that shows both physical healing and emotional growth. The story should be roughly 8,000-10,000 words."
1772,en,generation,"Create an original story about a lone survivor on a poison-choked alien world who battles a mysterious plague and wanders through the crumbling ruins of a once-mighty civilization. Explore themes of isolation, fragmented memories, and the spark of hope hidden amid decay. Introduce a companion—perhaps a wounded creature or an AI echo—whose fate mirrors the protagonist’s own struggles and reveals secrets of the empire’s downfall. Write this tale in 8,000-10,000 words."
998,en,generation,"Write a story about two teenagers exploring first love in the privacy of one’s childhood home only to be humorously blindsided by an unexpected phone call and a sibling’s oblivious return. Play up themes of embarrassment, budding intimacy, and how everyday technology can crash the most romantic moments. Set it in a nostalgic early 2000s suburb and include at least two comedic interludes caused by modern devices gone awry. Make the story roughly 8,000-10,000 words long."
1499,en,generation,"Imagine a story set in a future where the air is so toxic that only masked believers survive, until a magnetic leader calls for a mass unmasking as a divine purification ritual. Focus on a skeptical newcomer who, after breathing unfiltered air, begins to mutate in startling ways and must decide whether to expose the cult’s hidden agenda or embrace their own transformation. Weave in themes of faith, identity, and the thin line between salvation and self-destruction. 8,000-10,000 words."
1705,en,generation,"Imagine a story about an ordinary person who discovers a banned skill cartridge in the discount section of a skill-trading shop and activates it—only to realize the power to steal others’ abilities comes with a terrifying cost. Weave in themes of ambition, guilt, and self-discovery as the protagonist trades for new skills, confronts a mentor who warns them of the danger, and endures a moral crisis when they harm someone they care about. Include at least three distinct skill acquisitions or losses, a turning point where the hero must choose between returning the skill or embracing its curse, and a satisfying resolution that reflects on identity and consequence. 8,000-10,000 words."
1608,en,generation,"Compose a story that explores what happens when the Greek, Roman, and Norse gods are still worshipped in our consumer-driven world and a purist festival organizer fights to protect the true meaning of the Winter Solstice. Make sure you include a chaotic scene in a big-box store overrun by tacky god-themed merchandise, a secret midnight ritual at an ancient shrine, and a heated confrontation between rival priesthoods. The story should be 8,000-10,000 words."
1813,en,generation,"Create an original story about an introverted urban florist who discovers a mischievous alien hiding in her greenhouse and offers her a mysterious orb that can bend anyone’s will. Explore themes of loneliness, ambition, and the cost of absolute power. Set it in a rain-soaked, near-future Seattle and include at least two pivotal decisions where the protagonist must choose between personal gain and doing the right thing. The story should be 8,000-10,000 words."
1450,en,generation,"Write a new tale about someone whose day job or passion becomes their greatest weapon when zombies overrun the world. Show how their unique skills turn ordinary items into clever defenses, lead them to hidden supplies, and forge unusual alliances. Include at least three homemade tools built from everyday materials and reveal the hero’s backstory through brief flashbacks or diary entries. Aim for 8,000-10,000 words."
1716,en,generation,"Imagine a story where a cryogenic patient wakes up a thousand years later, only to find the world ruled by mutated cannibalistic scientists. Focus on the survivor’s rising dread as they learn who helped them awake and what horrifying purpose they serve. Set it in a decaying underground lab beneath a shattered megacity and explore themes of trust, identity, and the dark side of medical progress. The story should be 8,000-10,000 words."
1860,en,generation,"Imagine a story where someone skips a free energy drink sample at a futuristic mega-mart and unwittingly sets off a chain reaction that brings down a global corporation. Weave in themes of unintended consequences, corporate greed, and the fragility of markets when a miraculous biotech elixir falls into the wrong hands. Set it in a near-future megacity and include at least one tragicomic scene that underscores humanity’s obsession with immortality. Make it about 8,000 to 10,000 words long."
